,,original analysis,,,,,,,,,,,,,,,,,
,,snp1,snp2,rsq,df1,df2,fullP,intP,nclass,minclass,,,,,,,,,
ADK,ILMN_2358626,rs2395095,rs10824092,0.1248,8,837,17.5864,6.6892,9,12,rs2395095,rs67594352,0.4584,8,837,17.745,0.2372,9,1
CSTB,ILMN_1761797,rs9979356,rs3761385,0.204,8,837,17.2498,11.9911,9,9,rs35285321,rs3761385,0.4797,8,837,25.5441,0.7726,9,8
CTSC,ILMN_2242463,rs7930237,rs556895,-0.1137,8,837,19.7164,7.158,9,5,rs7930237,rs56375235,0.3815,7,838,10.6212,0.1882,8,1
FN3KRP,ILMN_1652333,rs898095,rs9892064,-0.2379,8,837,19.1801,16.1632,9,28,,,,,,,,,
HNRPH1,ILMN_2101920,rs6894268,rs4700810,-0.0136,8,837,17.098,15.3799,9,14,rs10078796,rs4700810,0.4944,8,837,30.7604,4.5987,9,8
NAPRT1,ILMN_1710752,rs2123758,rs3889129,0.2279,8,837,39.5079,8.4841,9,15,rs10093709,rs3889129,-0.1659,8,837,54.3611,1.5434,9,2
NCL,ILMN_2121437,rs7563453,rs4973397,0.1606,8,837,15.9373,7.3074,9,11,rs13019380,rs4973397,0.4054,7,838,12.5029,1.4023,8,4
PRMT2,ILMN_1675038,rs2839372,rs11701058,0.3031,8,837,16.6541,4.8122,9,8,,,,,,,,,
TMEM149,ILMN_1786426,rs807491,rs7254601,0.0228,8,837,60.4869,12.1581,9,8,rs28656784,rs7254601,0.6805,6,839,83.0259,0.3859,7,9
TMEM149,ILMN_1786426,rs8106959,rs1843357,0.0211,8,837,59.1454,6.2305,9,5,,,,,,,,,
TMEM149,ILMN_1786426,rs8106959,rs2351458,0.0343,8,837,60.7483,7.3029,9,5,,,,,,,,,
TMEM149,ILMN_1786426,rs8106959,rs6718480,0.0192,8,837,61.2516,8.5502,9,5,,,,,,,,,
TMEM149,ILMN_1786426,rs8106959,rs6926382,-0.0457,8,837,59.1421,5.7956,9,6,,,,,,,,,
TMEM149,ILMN_1786426,rs8106959,rs914940,0.0388,8,837,59.5852,6.2174,9,7,,,,,,,,,
TMEM149,ILMN_1786426,rs8106959,rs9509428,-0.0076,8,837,62.9459,9.4361,9,5,,,,,,,,,
VASP,ILMN_1743646,rs1264226,rs2276470,0.1342,8,837,15.5831,5.0917,9,29,,,,,,,,,
